buyer_id,first_name,last_name,age,city_id,marital_status_id,job_id,area_code,phone_number
1,Angela,Nunez,29,152,1,270,579,716-6870
2,Lisa,Frank,62,273,3,148,204,774-5841
3,Matthew,Campbell,56,127,4,256,902,464-6218
4,Bradley,Moore,19,338,3,308,289,232-2453
5,Derrick,Wells,52,152,4,180,365,557-8021
6,Alicia,Arnold,29,61,1,2,579,975-6841
7,Kathy,Smith,49,6,3,373,581,582-8252
8,Jesus,Wade,36,61,5,149,709,334-6956
9,Brandi,Moore,48,48,3,340,226,562-2845
10,Susan,Pearson,65,8,1,64,587,103-3951
11,Amber,Bruce,37,92,3,297,548,364-2503
12,Joshua,Patterson,45,206,2,158,403,230-3591
13,Courtney,Mcdonald,20,389,5,180,819,195-3428
14,Jonathan,Mcdaniel,58,26,1,117,905,561-3804
15,Tricia,Johnson,80,22,4,137,437,310-6983
16,Sean,Delgado,21,11,4,262,705,235-3190
17,Deanna,Brown,46,163,3,240,418,999-5523
18,Charles,Ponce,49,268,4,318,639,940-1944
19,Robert,Evans,50,385,5,65,450,340-1361
20,Michael,Hernandez,45,242,4,71,647,144-9869
21,Robin,Wall,55,254,3,142,306,872-6789
22,Miranda,Robinson,43,87,3,229,782,789-5199
23,Terri,Thomas,35,258,2,48,514,647-7368
24,Stephen,Brown,69,288,1,285,365,457-6493
25,Alice,Lane,51,265,4,160,249,568-6140
26,Gabriel,Carter,67,268,3,114,236,753-7413
27,Shane,Johnson,41,215,1,112,438,511-8725
28,Michael,Young,46,204,4,274,226,130-7062
29,Ryan,Horton,29,3,4,327,514,851-2979
30,Kimberly,Patel,62,221,5,329,204,594-7888
31,George,Arnold,27,388,3,386,306,448-4032
32,William,Murphy,54,278,1,116,250,586-3251
33,Cheyenne,Day,47,43,5,377,867,973-7073
34,Jeffrey,Castaneda,28,75,3,344,902,950-6367
35,Abigail,Bailey,70,200,2,380,289,152-5837
36,Alan,Russo,70,364,4,67,778,558-4533
37,Cameron,Franco,65,356,4,384,416,723-2787
38,Randy,Gay,20,165,4,174,418,558-7703
39,Melissa,Miller,35,272,3,175,431,939-1675
40,Tina,Lin,78,314,1,185,403,531-1436
41,Sarah,Owens,75,50,1,189,639,623-2677
42,Danielle,Aguirre,33,180,2,330,604,771-7571
43,James,Craig,63,257,3,55,639,605-8930
44,Taylor,Torres,58,202,3,342,647,901-7986
45,Ashley,Spencer,29,132,5,57,587,817-1328
46,Benjamin,Sheppard,52,44,4,401,825,320-9689
47,John,Allen,37,368,2,3,548,684-7035
48,Michael,Powers,78,183,4,2,226,668-3327
49,Brian,Gonzalez,76,199,1,235,403,599-7825
50,Kevin,Allen,60,240,3,333,613,382-7904
51,Lauren,Wolfe,68,3,5,240,819,484-4654
52,Michelle,Jones,38,146,5,92,581,819-3071
53,James,Walker,74,137,4,52,343,251-8516
54,Michael,Horton,59,8,3,373,226,129-2853
55,Andrea,Decker,72,157,1,97,506,200-3650
56,David,Knight,19,57,5,420,514,989-7860
57,Michael,Martinez,71,31,4,126,431,561-2451
58,Richard,Porter,66,341,5,7,825,320-2926
59,Stephen,Hoffman,24,229,2,398,365,219-1526
60,Brian,Williams,52,44,5,49,514,851-8496
61,Holly,Kline,32,21,4,367,289,700-2328
62,Kathryn,Williams,78,94,2,121,647,922-8157
63,Charles,Mullen,52,60,4,23,367,171-9240
64,Renee,Munoz,46,124,3,348,514,262-9081
65,Erin,Brown,46,314,2,380,343,101-3954
66,Ronnie,Holmes,18,361,4,431,204,179-4571
67,Christopher,Burnett,51,332,3,317,581,409-6584
68,Douglas,Anthony,57,248,2,365,705,767-4894
69,Erik,Saunders,56,384,1,228,306,435-8372
70,Lindsay,Hernandez,52,104,4,309,581,495-3648
71,Becky,Woods,75,185,1,70,905,336-6558
72,Kenneth,Ryan,27,231,4,133,226,923-8601
73,John,Giles,51,152,5,14,506,247-4825
74,Jeffrey,Trujillo,56,272,5,399,902,185-4517
75,Jamie,Strickland,28,5,4,38,367,847-7921
76,Wesley,Hall,44,240,2,368,204,308-2596
77,Donna,Anderson,51,32,3,70,367,917-9490
78,Gary,Perez,73,111,3,318,613,631-8721
79,Adrienne,Powell,49,295,2,326,343,476-9265
80,Victoria,Williams,46,43,4,73,902,466-8734
81,Jenna,Williams,25,229,3,323,506,912-2673
82,Luis,Zimmerman,57,164,3,239,416,409-9444
83,Vanessa,Alexander,51,230,2,155,782,972-6819
84,Kelly,Thomas,49,97,3,13,782,204-3186
85,Melinda,Campbell,51,285,5,320,431,132-9197
86,Jennifer,Fitzgerald,41,42,4,92,782,852-9194
87,Russell,Sanchez,36,236,3,113,780,684-8300
88,Jessica,Johnson,26,262,5,249,647,230-7169
89,Lisa,Jones,55,32,5,19,902,555-5098
90,Jennifer,Jacobson,22,356,2,276,365,280-8079
91,Michelle,Anderson,26,130,2,322,604,518-9588
92,Brian,Hamilton,79,352,4,62,587,408-4891
93,Brandon,Johnson,23,181,4,166,416,769-3655
94,Phillip,Jordan,18,351,4,85,902,419-8173
