owner_id,first_name,last_name,city_id,area_code,phone_number
1,Michael,Munoz,72,581,122-6966
2,Matthew,James,50,709,327-9480
3,Vanessa,Clark,220,873,430-7628
4,Cesar,Howard,29,867,286-6868
5,Corey,Flores,28,548,995-2266
6,Robert,Greene,160,365,484-9787
7,David,Lee,34,579,367-7501
8,Jocelyn,Butler,213,403,217-8146
9,Brian,Foster,228,289,384-5988
10,Antonio,Carroll,91,514,224-2362
11,Luis,Beasley,25,825,293-9950
12,David,Dudley,277,289,210-4592
13,Christopher,Cooper,335,418,894-6487
14,Heather,Williams,166,825,751-9881
15,Angela,Maynard,153,418,995-4590
16,George,Barnett,97,639,167-2940
17,Katherine,Mueller,262,807,238-8056
18,Regina,Vaughan,320,639,441-1043
19,Martha,Gordon,6,778,868-2481
20,Mary,Hill,362,506,767-3528
21,Sheila,Harris,14,867,270-4864
22,Randall,Day,22,579,774-5939
23,Aaron,Crane,242,873,313-6061
24,Erik,Powers,75,416,774-7476
25,Jacob,Gutierrez,161,204,212-6850
26,Sara,Donaldson,285,579,875-9124
27,Marissa,Brown,73,306,766-3843
28,James,Williams,243,289,620-2385
29,Jeffrey,Barron,118,519,741-2091
30,Michael,Delgado,212,780,992-7143
31,Cynthia,Davila,119,709,399-5504
32,Ryan,Martin,162,778,811-5787
33,Victoria,Day,78,778,684-8571
34,Darrell,Moore,75,236,214-5536
35,Christian,Jones,122,782,337-8267
36,Lisa,Gordon,389,905,165-9783
37,Lauren,Berg,85,506,601-7091
38,Lindsey,Montgomery,37,249,402-4173
39,Natasha,Hayes,158,250,750-5437
40,Leon,Rodriguez,41,905,144-7355
41,Emily,Glover,320,709,126-8558
42,Dennis,Wade,299,418,818-7170
43,Angela,Carrillo,70,819,200-5275
44,Erica,Gallagher,33,416,472-4567
45,Douglas,Small,18,613,811-7108
46,Devin,Diaz,49,249,613-3515
47,John,Mccarthy,192,819,512-1887
48,Sarah,Walsh,264,613,386-5299
49,Benjamin,Cortez,320,639,245-6836
50,Joseph,Lopez,157,604,836-4607
51,Patrick,Chapman,201,204,352-4169
52,James,Watson,130,514,398-9998
53,Jo,Lane,19,782,108-5852
54,Shelly,Nelson,156,825,796-7863
55,Wendy,Stanley,288,647,132-9612
56,Carol,House,328,249,853-2140
57,Joseph,Pierce,334,579,371-6487
58,Katherine,Navarro,325,204,586-7058
59,Kristen,Hartman,99,604,353-3304
60,Scott,Williams,217,204,626-4720
61,Natalie,Li,38,367,266-5277
62,Ryan,Vasquez,359,289,805-5105
63,Kristen,Richardson,206,450,998-6950
64,Donna,Cohen,254,306,796-5087
65,Mitchell,Sandoval,96,639,983-2171
66,Barbara,Rogers,142,437,558-1177
67,Martin,Kelley,320,548,337-8372
68,Jerry,Alexander,57,403,986-9976
69,Anita,Hayes,391,367,327-9826
70,Eugene,Cain,329,506,486-4966
71,Sheri,Miller,152,639,799-9075
72,Jennifer,Rodriguez,15,819,571-3968
73,Robert,Martinez,391,548,406-6738
74,Michael,Hoover,12,418,592-6678
75,Evelyn,Cross,102,416,616-2508
76,Crystal,Jones,42,613,260-2914
77,David,Donaldson,221,450,610-6931
78,Brenda,Williams,1,438,851-3786
79,Kathleen,Novak,330,418,507-3706
80,Theodore,Pope,53,367,580-3903
81,Joshua,Clayton,104,647,900-5215
82,Michelle,Cobb,209,782,705-6270
83,Steven,Watson,177,873,798-4596
84,Christy,Alvarez,321,289,458-7690
85,Juan,Parks,169,250,667-6653
86,Jodi,Peterson,62,873,426-8340
87,Breanna,Miller,321,236,786-4247
88,Joseph,Wright,127,306,540-2523
89,Danielle,Green,258,905,806-7887
90,Cody,Jimenez,65,403,748-4499
91,Amber,Lopez,383,819,767-6555
92,Charles,Walton,226,647,152-6640
93,Brandon,Frey,195,902,421-9420
94,Stephanie,Walsh,139,647,849-6894
95,Amanda,Hopkins,305,709,944-2541
96,Stephanie,Kelly,78,579,653-6729
97,Jason,Holland,312,226,988-3259
98,Connie,Carson,53,902,871-8037
99,Anthony,Brown,136,902,232-3894
100,John,Green,79,587,452-4318
101,Frank,Alexander,122,226,189-3810
102,Michael,Jacobs,359,548,914-5920
103,Crystal,Steele,52,581,409-6219
104,Jeffrey,Williams,260,236,584-3491
105,Joshua,Parker,355,431,675-3658
106,Grant,Bailey,176,581,578-3271
107,Michael,Cardenas,3,873,676-4837
108,Donna,Francis,349,431,308-8789
109,Jennifer,Gordon,242,587,186-5221
110,Michael,Harmon,246,289,498-3346
111,Meghan,Norris,50,249,763-3782
112,Charles,Larsen,282,343,129-1138
113,Scott,Smith,320,705,754-6839
114,David,Swanson,321,204,958-1308
115,Amanda,Gray,301,418,745-1493
116,Jerry,Ortega,42,365,311-9196
117,Jay,Gonzalez,23,902,202-2572
118,Levi,Jordan,201,782,749-1771
119,Richard,Mueller,321,450,640-9522
120,Andres,Webster,375,867,452-2389
121,Pamela,Sullivan,198,825,801-4106
122,Kathleen,Harrington,107,873,660-6880
123,Erika,Campbell,381,782,325-6684
124,Kimberly,Ward,158,581,925-1896
125,Dan,Martinez,216,437,844-7642
126,Kimberly,Nelson,262,506,782-6375
127,Johnny,Perez,309,780,361-7588
128,Sarah,Boyd,389,403,951-3537
129,Ellen,Montgomery,318,604,149-2029
130,Steve,Romero,1,825,773-6008
131,Michael,Mckee,390,639,896-1446
132,John,Mahoney,344,367,608-6497
133,Curtis,Hall,43,519,475-5588
134,Kaylee,Hanson,324,289,706-7099
