buyer_id,first_name,last_name,age,city_id,marital_status_id,job_id,buyer_area_code,buyer_phone_number
1,John,Brooks,78,309,1,111,204,419-7489
2,Andrea,Baker,76,124,1,159,867,897-7410
3,Douglas,Bryant,33,236,1,219,403,987-1814
4,Dana,Thompson,29,290,1,375,250,360-6239
5,Kerry,Wheeler,30,161,4,118,780,193-5903
6,Jennifer,Pittman,78,374,5,365,226,814-3046
7,Brandon,Watkins,63,145,5,211,289,339-7210
8,Matthew,Riggs,30,235,3,154,548,278-7876
9,Samantha,Lam,77,142,1,319,778,857-4269
10,Stephanie,Gibson,74,279,4,221,365,184-4813
11,Joshua,Phillips,55,147,1,195,343,131-3446
12,Sharon,Clay,64,387,3,260,819,937-9836
13,Hannah,Cunningham,59,344,3,237,647,110-6226
14,Desiree,Cohen,30,135,1,250,819,621-5978
15,Jamie,May,26,232,2,44,613,353-1166
16,Kimberly,White,28,308,5,108,289,506-4318
17,Kenneth,Small,32,293,2,178,819,521-6832
18,Brittany,Guerrero,43,211,3,136,450,100-3119
19,Christopher,Davis,27,43,5,127,418,511-5377
20,Jason,Powers,47,292,3,27,873,350-4680
21,Scott,Bruce,64,119,4,352,825,152-7362
22,Christopher,Lozano,47,208,1,287,639,514-3194
23,Deborah,Cabrera,79,300,4,6,416,540-8751
24,Lawrence,Parrish,53,294,5,379,438,880-2403
25,Rodney,Washington,70,338,3,324,403,510-7219
26,Jonathan,Walton,33,124,4,105,587,509-5775
27,Ryan,Zuniga,72,124,3,318,613,680-6741
28,Thomas,Marquez,34,325,3,310,613,867-8807
29,Jessica,Lucas,72,274,1,196,506,242-3703
30,Jonathan,Fuller,34,122,4,224,416,496-7190
31,Heather,Goodman,40,263,4,272,902,750-8403
32,Rebecca,Brooks,25,361,2,52,306,133-9686
33,Christopher,Sexton,56,285,2,327,705,669-6586
34,William,Davis,71,253,2,226,825,882-4764
35,Susan,Hicks,68,319,5,267,365,104-8528
36,Allison,Valdez,55,322,5,381,647,754-4191
37,April,Jones,45,141,1,397,249,654-6901
38,Michael,Smith,34,275,4,151,250,484-9693
39,Michael,Reynolds,38,154,2,377,587,855-4398
40,Tracy,Turner,32,202,5,364,204,853-1561
41,David,Johnson,73,353,5,286,819,807-6822
42,Angela,Sanchez,25,247,2,112,226,126-6537
43,Anna,Edwards,38,302,1,94,548,113-5713
44,Michael,Williams,40,47,4,173,587,136-5776
45,Edward,Clark,24,352,5,182,226,304-3983
46,Karen,Carpenter,26,179,4,31,867,402-3437
47,Mario,Thomas,81,259,5,262,905,126-5970
48,Steven,Fry,53,100,1,58,343,761-8061
49,Justin,Silva,30,318,1,268,587,100-4274
50,Frederick,Craig,62,223,1,223,613,720-5882
51,Kenneth,Johnson,62,213,4,81,367,139-7637
52,Michael,Nichols,29,381,1,34,873,256-9295
53,Pam,Walker,53,341,3,131,438,315-6315
54,Jennifer,Stein,53,175,3,25,647,119-3900
55,John,Alexander,56,39,4,421,438,947-7388
56,Susan,Montgomery,22,147,5,336,249,940-5020
57,Maureen,Stewart,46,367,3,334,236,476-9398
58,Zachary,Haley,50,126,5,173,403,124-3895
59,Karen,Tate,25,226,5,229,519,822-3858
60,Johnathan,Matthews,79,157,4,130,705,680-8335
61,Timothy,Lewis,27,306,2,79,581,761-9542
62,Sara,Williams,75,225,1,361,905,670-9439
63,Angela,Silva,76,255,2,333,709,342-5781
64,Mindy,King,24,7,3,61,613,364-1316
65,Kristin,Walsh,36,346,5,296,902,340-4614
66,Craig,Ramirez,48,375,4,180,365,659-8682
67,Gregory,Jones,66,238,4,416,819,936-3080
68,Joseph,Stephens,69,287,2,248,367,203-4578
69,Elizabeth,Ward,80,366,4,430,506,415-8957
